pais,anio,size_emp,size_label,pct,flag
SK,2025,10-49,Pequenas (10-49),15.59,
AT,2025,50-249,Medianas (50-249),44.56,
BE,2025,50-249,Medianas (50-249),54.49,
BG,2025,50-249,Medianas (50-249),13.3,
CY,2025,50-249,Medianas (50-249),15.31,
CZ,2025,50-249,Medianas (50-249),28.79,
DE,2025,50-249,Medianas (50-249),35.56,
DK,2025,50-249,Medianas (50-249),58.27,
EE,2025,50-249,Medianas (50-249),33.1,
EL,2025,50-249,Medianas (50-249),15.18,
ES,2025,50-249,Medianas (50-249),30.1,
EU27_2020,2025,50-249,Medianas (50-249),30.36,
FI,2025,50-249,Medianas (50-249),51.35,
FR,2025,50-249,Medianas (50-249),30.81,
HR,2025,50-249,Medianas (50-249),25.5,
HU,2025,50-249,Medianas (50-249),15.34,
IE,2025,50-249,Medianas (50-249),28.02,
IT,2025,50-249,Medianas (50-249),27.62,
LT,2025,50-249,Medianas (50-249),30.36,
LU,2025,50-249,Medianas (50-249),43.68,
LV,2025,50-249,Medianas (50-249),19.78,
MT,2025,50-249,Medianas (50-249),30.66,
NL,2025,50-249,Medianas (50-249),46.62,
PL,2025,50-249,Medianas (50-249),14.77,
PT,2025,50-249,Medianas (50-249),18.21,
RO,2025,50-249,Medianas (50-249),7.79,
SE,2025,50-249,Medianas (50-249),49.6,
SI,2025,50-249,Medianas (50-249),30.62,
SK,2025,50-249,Medianas (50-249),23.05,
AT,2025,GE10,>=10 (total),29.95,
BE,2025,GE10,>=10 (total),34.54,
BG,2025,GE10,>=10 (total),8.55,
CY,2025,GE10,>=10 (total),9.27,
CZ,2025,GE10,>=10 (total),17.6,
DE,2025,GE10,>=10 (total),25.97,
DK,2025,GE10,>=10 (total),42.03,
EE,2025,GE10,>=10 (total),23.4,
EL,2025,GE10,>=10 (total),8.93,
ES,2025,GE10,>=10 (total),20.27,
EU27_2020,2025,GE10,>=10 (total),19.95,
FI,2025,GE10,>=10 (total),37.82,
FR,2025,GE10,>=10 (total),18.16,
HR,2025,GE10,>=10 (total),15.19,
HU,2025,GE10,>=10 (total),10.37,
IE,2025,GE10,>=10 (total),19.64,
IT,2025,GE10,>=10 (total),16.4,
LT,2025,GE10,>=10 (total),21.3,
LU,2025,GE10,>=10 (total),33.61,
LV,2025,GE10,>=10 (total),12.21,
MT,2025,GE10,>=10 (total),21.51,
NL,2025,GE10,>=10 (total),33.21,b
PL,2025,GE10,>=10 (total),8.36,
PT,2025,GE10,>=10 (total),11.54,
RO,2025,GE10,>=10 (total),5.21,
SE,2025,GE10,>=10 (total),35.04,
SI,2025,GE10,>=10 (total),21.61,
SK,2025,GE10,>=10 (total),18.0,
AT,2025,GE250,Grandes (>=250),68.26,
BE,2025,GE250,Grandes (>=250),76.41,
BG,2025,GE250,Grandes (>=250),26.18,
CY,2025,GE250,Grandes (>=250),35.07,
